Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	
ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	
1_Ch1.txt	 1_Ch1.txt	 2_Ch1.txt	 2_Ch1.txt	 3_Ch1.txt	 3_Ch1.txt	 4_Ch1.txt	 4_Ch1.txt	 5_Ch1.txt	 5_Ch1.txt	 6_Ch1.txt	 6_Ch1.txt	
-299.02	0	-304.42	0	-298.3	0	-213.74	0	-299.3	0	-305.38	0
-298.94	0	-304.34	0	-298.22	0	-213.66	0	-299.22	0	-305.3	0
-298.86	0	-304.26	0	-298.14	0	-213.58	0	-299.14	0	-305.22	0
-298.78	0	-304.18	0	-298.06	0	-213.5	0	-299.06	0	-305.14	0
-298.7	0	-304.1	0	-297.98	0	-213.42	0	-298.98	0	-305.06	0
-298.62	0	-304.02	0	-297.9	0	-213.34	0	-298.9	0	-304.98	0
-298.54	0	-303.94	0	-297.82	0	-213.26	0	-298.82	0	-304.9	0
-298.46	0	-303.86	0	-297.74	0	-213.18	0	-298.74	0	-304.82	0
-298.38	0	-303.78	0	-297.66	0	-213.1	0	-298.66	0	-304.74	0
-298.3	0	-303.7	0	-297.58	0	-213.02	0	-298.58	0	-304.66	0
-298.22	0	-303.62	0	-297.5	0	-212.94	0	-298.5	0	-304.58	0
-298.14	0	-303.54	0	-297.42	0	-212.86	0	-298.42	0	-304.5	0
-298.06	0	-303.46	0	-297.34	0	-212.78	0	-298.34	0	-304.42	0
-297.98	0	-303.38	0	-297.26	0	-212.7	0	-298.26	0	-304.34	0
-297.9	0	-303.3	0	-297.18	0	-212.62	0	-298.18	0	-304.26	0
-297.82	0	-303.22	0	-297.1	0	-212.54	0	-298.1	0	-304.18	0
-297.74	0	-303.14	0	-297.02	0	-212.46	0	-298.02	0	-304.1	0
-297.66	0	-303.06	0	-296.94	0	-212.38	0	-297.94	0	-304.02	0
-297.58	0	-302.98	0	-296.86	0	-212.3	0	-297.86	0	-303.94	0
-297.5	0	-302.9	0	-296.78	0	-212.22	0	-297.78	0	-303.86	0
-297.42	0	-302.82	0	-296.7	0	-212.14	0	-297.7	0	-303.78	0
-297.34	0	-302.74	0	-296.62	0	-212.06	0	-297.62	0	-303.7	0
-297.26	0	-302.66	0	-296.54	0	-211.98	0	-297.54	0	-303.62	0
-297.18	0	-302.58	0	-296.46	0	-211.9	0	-297.46	0	-303.54	0
-297.1	0	-302.5	0	-296.38	0	-211.82	0	-297.38	0	-303.46	0
-297.02	0	-302.42	0	-296.3	0	-211.74	0	-297.3	0	-303.38	0
-296.94	0	-302.34	0	-296.22	0	-211.66	0	-297.22	0	-303.3	0
-296.86	0	-302.26	0	-296.14	0	-211.58	0	-297.14	0	-303.22	0
-296.78	0	-302.18	0	-296.06	0	-211.5	0	-297.06	0	-303.14	0
-296.7	0	-302.1	0	-295.98	0	-211.42	0	-296.98	0	-303.06	0
-296.62	0	-302.02	0	-295.9	0	-211.34	0	-296.9	0	-302.98	0
-296.54	0	-301.94	0	-295.82	0	-211.26	0	-296.82	0	-302.9	0
-296.46	0	-301.86	0	-295.74	0	-211.18	0	-296.74	0	-302.82	0
-296.38	0	-301.78	0	-295.66	0	-211.1	0	-296.66	0	-302.74	0
-296.3	0	-301.7	0	-295.58	0	-211.02	0	-296.58	0	-302.66	0
-296.22	0	-301.62	0	-295.5	0	-210.94	0	-296.5	0	-302.58	0
-296.14	0	-301.54	0	-295.42	0	-210.86	0	-296.42	0	-302.5	0
-296.06	0	-301.46	0	-295.34	0	-210.78	0	-296.34	0	-302.42	0
-295.98	0	-301.38	0	-295.26	0	-210.7	0	-296.26	0	-302.34	0
